Point,Theta1_deg,Theta2_deg
1,-10.09267891,115.3769335
2,-8.923462309,114.5452657
3,-7.747524229,113.7764032
4,-6.568122672,113.0721527
5,-5.388282399,112.4341979
6,-4.210807645,111.8640884
7,-3.038293301,111.3632303
8,-1.873134828,110.9328756
9,-0.717537179,110.5741131
10,0.426477042,110.2878602
11,1.557059938,110.0748552
12,2.672531017,109.9356512
13,3.77137002,109.8706113
14,4.852209738,109.8799057
15,5.913828682,109.9635102
16,6.955143497,110.121206
17,7.975201039,110.3525822
18,8.973170065,110.6570388
19,9.94833248,111.0337921
20,10.90007415,111.4818814
21,11.82787525,112.0001759
22,12.73130016,112.5873842
23,13.60998698,113.2420637
24,14.46363652,113.96263
25,15.29200101,114.7473678
26,16.09487226,115.5944411
27,16.87206951,116.5019031
28,17.62342672,117.4677058
29,18.34877934,118.4897089
30,19.04795051,119.5656876
31,19.72073636,120.6933396
32,20.3668905,121.8702897
33,20.98610716,123.0940941
34,21.57800296,124.3622419
35,22.14209674,125.6721545
36,22.67778697,127.0211833
37,23.18432633,128.406604
38,23.66079249,129.8256077
39,24.10605443,131.2752891
40,24.51873296,132.75263
41,24.89715431,134.2544779
42,25.23929504,135.7775188
43,25.54271619,137.318243
44,25.80448446,138.8729028
45,26.02107729,140.4374591
46,26.18826872,142.0075169
47,26.30099211,143.5782442
48,26.35317585,145.1442745
49,26.33754834,146.6995869
50,26.24541002,148.2373615
51,26.06637305,149.7498079
52,25.78807632,151.2279646
53,25.39589493,152.6614739
54,24.87268478,154.0383434
55,24.19863582,155.3447188
56,23.35135742,156.5647158
57,22.30638231,157.6803888
58,21.03833927,158.6719498
59,19.5230686,159.5183757
60,17.74086848,160.198533
61,15.68077694,160.6928557
62,13.34528748,160.9854273
63,10.75431004,161.0660696
64,7.946891802,160.9318707
65,4.97959438,160.5876504
66,1.921501303,160.0451968
67,-1.152936145,159.3215434
68,-4.17134058,158.4368322
69,-7.06946647,157.4123057
70,-9.794985951,156.2687616
71,-12.30895185,155.0255668
72,-14.58542969,153.70016
73,-16.60997533,152.3079079
74,-18.37757297,150.8621804
75,-19.89047945,149.3745389
76,-21.15624343,147.8549697
77,-22.18602711,146.3121214
78,-22.99326467,144.7535241
79,-23.59263803,143.1857829
80,-23.99932575,141.6147426
81,-24.22847329,140.0456258
82,-24.29483555,138.4831467
83,-24.21254867,136.9316046
84,-23.99499644,135.3949599
85,-23.65474391,133.8768966
86,-23.20351739,132.3808716
87,-22.65221559,130.9101556
88,-22.01094049,129.4678654
89,-21.28904012,128.0569892
90,-20.49515753,126.6804066
91,-19.63728207,125.3409045
92,-18.72280056,124.0411876
93,-17.75854646,122.7838866
94,-16.7508462,121.5715629
95,-15.70556203,120.4067109
96,-14.62813109,119.2917574
97,-13.52360073,118.2290596
98,-12.3966601,117.2209012
99,-11.25166825,116.2694865
100,-10.09267891,115.3769335
